"","pathway","tg_c","z","vpdo","cao","oao","paro","q0_response","q0_intercept","q0","beta","theta","lma","given_lma","f","patm","par","vpd","ca","oa","km","gammastar","chi","given_chi","ci","mc","m","omega","omega_star","Al","kp","kr","ko","Ap","leakage","cbs","chi_bs","obs","Ac","jmax","vpmax","vcmax","jmax25","vpmax25","vcmax25","nrubisco","nbioe","npep","nstructure","nall","nphoto","nrubisco_frac","nphoto_frac","elevation"
"33","C3",25,5000,1,304.1,209460,800,"yes",-0.0805,0.257,146,0.85,1262.80978485338,"no",0.5,55243.0892759575,908,1.98589034540063,16.7994234488187,11571.2174797421,39.2008678450921,2.36183629650578,0.639198324734216,"no",10.7381633249856,0.167731067908637,0.541742072086666,0.949812486611404,1.19323712455752,22.1834648854474,NA,NA,NA,0,NA,NA,NA,NA,22.1834648854474,221.644442625691,0,132.256147665683,221.644442625691,0,132.256147665683,0.414623022931916,0.176178915933241,0,2.51376432776415,3.1045662666293,0.590801938865158,0.133552640634108,0.190300959337101,"z = 5000 m"
"34","C3",25,5000,1,304.5,209460,800,"yes",-0.0805,0.257,146,0.85,1262.1790169431,"no",0.5,55243.0892759575,908,1.98589034540063,16.8215206845291,11571.2174797421,39.2008678450921,2.36183629650578,0.639120789980199,"no",10.7509835885645,0.167944671744564,0.542121724296965,0.950210906895865,1.19350389759197,22.2039740833812,NA,NA,NA,0,NA,NA,NA,NA,22.2039740833812,221.737416389591,0,132.210053779809,221.737416389591,0,132.210053779809,0.4144785185997,0.176252818155829,0,2.51252126662135,3.10325260337688,0.590731336755529,0.133562610452232,0.190358766190258,"z = 5000 m"
"35","C3",25,5000,1,304.9,209460,800,"yes",-0.0805,0.257,146,0.85,1261.54915858107,"no",0.5,55243.0892759575,908,1.98589034540063,16.8436179202395,11571.2174797421,39.2008678450921,2.36183629650578,0.639043458662729,"no",10.7638038521433,0.168158165964742,0.542500747968274,0.950608318557565,1.19376980914472,22.2244484452474,NA,NA,NA,0,NA,NA,NA,NA,22.2244484452474,221.830154785319,0,132.163955985981,221.830154785319,0,132.163955985981,0.414334002016049,0.176326533290895,0,2.51127999173638,3.10194052704333,0.590660535306944,0.133572516430861,0.190416460327801,"z = 5000 m"
"36","C3",25,5000,1,305.3,209460,800,"yes",-0.0805,0.257,146,0.85,1260.92020780137,"no",0.5,55243.0892759575,908,1.98589034540063,16.8657151559498,11571.2174797421,39.2008678450921,2.36183629650578,0.638966329982187,"no",10.7766241157222,0.168371550653526,0.542879144660183,0.951004725731349,1.19403486349146,22.2448880637846,NA,NA,NA,0,NA,NA,NA,NA,22.2448880637846,221.922658777765,0,132.117854693635,221.922658777765,0,132.117854693635,0.414189474464546,0.176400062105403,0,2.5100404992587,3.10063003582865,0.590589536569948,0.133582358965265,0.190474042289961,"z = 5000 m"
"37","C3",25,5000,1,305.8,209460,800,"yes",-0.0805,0.257,146,0.85,1260.13529262867,"no",0.5,55243.0892759575,908,1.98589034540063,16.8933367005878,11571.2174797421,39.2008678450921,2.36183629650578,0.63887020287829,"no",10.7926494451958,0.168638127614355,0.543351261202881,0.951498828397531,1.19436498244602,22.2703888698504,NA,NA,NA,0,NA,NA,NA,NA,22.2703888698504,222.037960599534,0,132.060223775603,222.037960599534,0,132.060223775603,0.414008801536516,0.176491712271424,0,2.50849363432369,3.09899414813163,0.590500513807941,0.133594573512222,0.190545862812923,"z = 5000 m"
"38","C3",25,5000,1,306.2,209460,800,"yes",-0.0805,0.257,146,0.85,1259.50837675073,"no",0.5,55243.0892759575,908,1.98589034540063,16.9154339362982,11571.2174797421,39.2008678450921,2.36183629650578,0.638793527228859,"no",10.8054697087747,0.168851266165482,0.54372825286672,0.951892990466686,1.19462812356327,22.2907506531176,NA,NA,NA,0,NA,NA,NA,NA,22.2907506531176,222.129940683344,0,132.014116087656,222.129940683344,0,132.014116087656,0.413864253934801,0.176564824645735,0,2.50725813824111,3.09768721682165,0.590429078580536,0.133604274727079,0.190603194336173,"z = 5000 m"
"39","C3",25,5000,1,306.6,209460,800,"yes",-0.0805,0.257,146,0.85,1258.88236210498,"no",0.5,55243.0892759575,908,1.98589034540063,16.9375311720086,11571.2174797421,39.2008678450921,2.36183629650578,0.638717051646355,"no",10.8182899723535,0.169064295458776,0.54410462258433,0.952286161320277,1.19489042117268,22.3110779919886,NA,NA,NA,0,NA,NA,NA,NA,22.3110779919886,222.221689461055,0,131.968006204059,222.221689461055,0,131.968006204059,0.413719699449725,0.176637753161351,0,2.50602441212778,3.09638186473885,0.590357452611076,0.133613913762093,0.190660415413868,"z = 5000 m"
"40","C3",25,5000,1,307.2,209460,800,"yes",-0.0805,0.257,146,0.85,1257.94502570014,"no",0.5,55243.0892759575,908,1.98589034540063,16.9706770255742,11571.2174797421,39.2008678450921,2.36183629650578,0.638602711688528,"no",10.8375203677219,0.169383634723982,0.544668014374176,0.952874067888238,1.19528229509081,22.3415046165165,NA,NA,NA,0,NA,NA,NA,NA,22.3415046165165,222.358880986128,0,131.898838119296,222.358880986128,0,131.898838119296,0.413502857503993,0.176746802835127,0,2.5041771333323,3.09442679367142,0.59024966033912,0.133628256564243,0.190746041091123,"z = 5000 m"
"41","C3",25,5000,1,307.5,209460,800,"yes",-0.0805,0.257,146,0.85,1257.4771142324,"no",0.5,55243.0892759575,908,1.98589034540063,16.9872499523569,11571.2174797421,39.2008678450921,2.36183629650578,0.638545709036382,"no",10.847135565406,0.169543212329632,0.544949188415316,0.953167192463091,1.19547752819437,22.3566890390875,NA,NA,NA,0,NA,NA,NA,NA,22.3566890390875,222.427283364417,0,131.86425296473,222.427283364417,0,131.86425296473,0.413394433044428,0.176801173956331,0,2.50325498013803,3.09345058713879,0.59019560700076,0.133635376224576,0.19078876173246,"z = 5000 m"
"42","C3",25,5000,1,308,209460,800,"yes",-0.0805,0.257,146,0.85,1256.69838006127,"no",0.5,55243.0892759575,908,1.98589034540063,17.0148714969949,11571.2174797421,39.2008678450921,2.36183629650578,0.638450951380866,"no",10.8631608948796,0.169809038791684,0.545417040926124,0.953654511507612,1.19580187991743,22.3819537423568,NA,NA,NA,0,NA,NA,NA,NA,22.3819537423568,222.54100218737,0,131.806609952102,222.54100218737,0,131.806609952102,0.413213722199839,0.176891565841243,0,2.50172025441995,3.09182554246104,0.590105288041082,0.13364716622107,0.190859826965324,"z = 5000 m"
